Location,Sample,id,"leaf_apex_angle","dist_to_widest_leaf","leaf_l","leaf_w","w_non_revoluted_leaf","dist_from_widest_fruit","fruit_l","fruit_w","seed_l","seed_w","sepal_l","sepal_tip_l","sepal_w","old_petal_l","petal_l","old_petal_w","petal_w","stamen_l","anther_l_tubules","anther_l_no_tubules","style_l","bract_l","bract_w","stem_d","shoot_l","pedicel_l","dist_to_lower_bract"
QCWL,17,QCWL17,124.619,3.535,6.901,2.396,2.711,,,,,,1.877,0.578,1.127,6.672,6.672,1.768,1.934,4.895,3.303,1.55,6.28,0.855,0.144,0.504,20.6,21.278,13.867
QCWL,18,QCWL18,110.133,2.921,6.959,2.722,2.722,,,,,,1.38,0.568,0.9,4.48,5.934,2.072,2.179,4.799,3.143,1.284,6.066,1.287,0.261,0.465,26.3,26.28,8.554
QCWL,19,QCWL19,85.942,1.849,6.373,2.231,1.976,,,,,,1.664,0.706,1.442,5.62,5.95,1.537,2.054,4.323,2.779,1.082,5.402,0.908,0.164,0.734,69.3,20.367,1.391
QCWL,20,QCWL20,82.391,2.713,6.116,2.5,2.5,,,,,,1.962,0.974,1.582,6.041,6.728,2.411,2.43,5.139,3.435,1.566,6.808,2.073,0.22,0.478,99.4,42.689,21.778
QCWL,21,QCWL21,77.707,3.139,7.067,2.871,2.407,,,,,,1.654,0.723,1.291,5.158,5.919,2.418,2.369,4.241,3.002,1.365,5.873,1.365,0.173,0.432,74.9,40.451,5.181
QCWL,22,QCWL22,102.449,4.438,9.431,3.755,3.454,,,,,,1.914,0.602,1.456,6.355,6.355,2.801,2.801,5.909,3.782,1.363,8.419,1.213,0.188,0.627,59.8,32.877,8.182
QCWL,23,QCWL23,118.337,2.187,4.664,2.69,2.487,,9.478,9.305,1.475,1.013,1.929,0.463,1.194,6.245,6.245,1.955,1.955,5.232,4.03,1.688,6.217,1.116,0.151,0.391,45.5,24.9,5.289
QCWL,24,QCWL24,95.069,2.067,6.351,2.851,2.667,,12.408,10.571,2.303,1.116,2.19,0.659,1.431,5.181,5.861,2.07,1.987,4.876,3.408,1.696,5.829,1.281,0.212,0.359,11.5,16.038,8.186
QCWL,25,QCWL25,82.162,2.927,6.64,2.983,2.745,,,,,,1.845,0.877,,5.258,5.258,2.111,2.111,4.531,3.074,1.431,5.504,1.126,0.142,0.44,57.8,13.793,3.08
QCWR,01,QCWR01,93.453,1.802,4.456,1.893,1.713,,,,,,,,,5.383,5.408,1.785,1.832,3.931,2.745,1.156,5.488,1.284,0.31,0.332,47.7,18.03,8.69
